epoch,loss,accuracy,precision,recall,f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.30671724677085876,0.8819866180419922,0.45905250310897827,0.857457160949707,0.5979718444742613,0.25935128331184387,0.8762729167938232,0.44148147106170654,0.9434111714363098,0.6014885760826713
2,0.17408613860607147,0.9371646046638489,0.6298918724060059,0.9361905455589294,0.75308784378948,0.20041874051094055,0.9434043765068054,0.6607248783111572,0.8800949454307556,0.7547938010166747
3,0.11355092376470566,0.9572871923446655,0.7168387174606323,0.9631684422492981,0.8219446290452149,0.1364804208278656,0.9540184736251831,0.7410046458244324,0.8231104016304016,0.7799025175635677
4,0.08358721435070038,0.9705554246902466,0.7874459624290466,0.9757007360458374,0.871523175925101,0.2205694019794464,0.9192386269569397,0.5581395626068115,0.8832607865333557,0.6840331200940148
5,0.0625307559967041,0.9794073700904846,0.8432823419570923,0.9811537265777588,0.9070086111955377,0.33316826820373535,0.8815995454788208,0.4520309567451477,0.9248120188713074,0.6072495834358128
6,0.037018436938524246,0.9875445365905762,0.8990004062652588,0.9894766807556152,0.9420712002310521,0.21019183099269867,0.9499059915542603,0.7150241136550903,0.8211317658424377,0.764413326670437
7,0.030203303322196007,0.9913438558578491,0.9289877414703369,0.991198718547821,0.9590854618184579,0.23182730376720428,0.9431301951408386,0.6734430193901062,0.8258804678916931,0.741912523441661
8,0.017213720828294754,0.9948493838310242,0.956078290939331,0.9954079985618591,0.9753468247994903,0.32605665922164917,0.9414460062980652,0.6632911562919617,0.829442024230957,0.7371197565750764
9,0.012110362760722637,0.996680498123169,0.9717350602149963,0.9965559840202332,0.9839890213144562,0.38707682490348816,0.9454801678657532,0.6879761219024658,0.8219232559204102,0.7490082881217074
10,0.010462388396263123,0.9974932670593262,0.9791373014450073,0.9967473745346069,0.9878638630975244,0.3839840590953827,0.9416418671607971,0.6745203733444214,0.7930352091789246,0.7289923621848646
