epoch,loss,accuracy,precision,recall,f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.3052147328853607,0.8794994354248047,0.45340240001678467,0.8624318242073059,0.5943433477374774,0.23678338527679443,0.9400752186775208,0.647441565990448,0.8662445545196533,0.7410290988463346
2,0.17610225081443787,0.9351866245269775,0.6220086812973022,0.9349468946456909,0.7470284881691022,0.23323333263397217,0.9158703088760376,0.5441416501998901,0.9244163036346436,0.6850440074469318
3,0.12093660235404968,0.9545944333076477,0.7040988206863403,0.959724485874176,0.8122748082964586,0.15045706927776337,0.9508068561553955,0.7114808559417725,0.8460625410079956,0.7729573404317199
4,0.08478737622499466,0.9701637029647827,0.7855049967765808,0.9746484160423279,0.8699141737600293,0.16462962329387665,0.9470076560974121,0.6895994544029236,0.8448753356933594,0.7593810915538988
5,0.06482627242803574,0.9775567054748535,0.8309676647186279,0.9801014065742493,0.8993942748158613,0.21655362844467163,0.9376468658447266,0.6397608518600464,0.8468539714813232,0.72888284132432
6,0.042003825306892395,0.9857330322265625,0.8857632875442505,0.9880416989326477,0.9341111479512849,0.2614991366863251,0.9383127093315125,0.6460122466087341,0.8333992958068848,0.7278382464520355
7,0.032484546303749084,0.9899240136146545,0.9178045988082886,0.990242063999176,0.9526483161943138,0.2453140765428543,0.9480260014533997,0.7139800190925598,0.7922437787055969,0.751078596783642
8,0.021857330575585365,0.9934001564979553,0.9449449181556702,0.9933990240097046,0.9685663509130567,0.29493749141693115,0.9369810223579407,0.6394289135932922,0.833003580570221,0.7234920129169448
9,0.012716332450509071,0.9959167242050171,0.964974045753479,0.9962689876556396,0.9803718349027692,0.3581019341945648,0.9454018473625183,0.6954122185707092,0.7977839112281799,0.7430888261435931
10,0.011170808225870132,0.9971897006034851,0.9764716625213623,0.9965559840202332,0.9864115996727714,0.4117414355278015,0.9457151889801025,0.6947763562202454,0.8053027391433716,0.7459677352821068
