epoch,loss,accuracy,precision,recall,f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.3969486653804779,0.8344072103500366,0.3613925278186798,0.8054147362709045,0.49891850426637363,0.13842104375362396,0.9531959891319275,0.8293768763542175,0.6636327505111694,0.7373049011356936
2,0.2144702821969986,0.9194998145103455,0.5665315389633179,0.9091169834136963,0.6980570724001468,0.12696373462677002,0.9619301557540894,0.8214138150215149,0.7863078713417053,0.8034775594042923
3,0.14361096918582916,0.941561222076416,0.6457020044326782,0.9507318735122681,0.7690759822701247,0.11198568344116211,0.9574651122093201,0.7530733942985535,0.8484368920326233,0.7979158867531586
4,0.09990354627370834,0.9570228457450867,0.7132208347320557,0.9702478051185608,0.8221132643433262,0.12709814310073853,0.9635359644889832,0.8915603756904602,0.7190344333648682,0.7960569672035206
