epoch,loss,accuracy,precision,recall,f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,4.781965732574463,0.20955315232276917,0.38120409846305847,0.5190154314041138,0.4395612471238288,3.6792845726013184,0.024268105626106262,0.6396211981773376,0.8955384492874146,0.7462486092479744
2,4.042216777801514,0.23411017656326294,0.42672595381736755,0.541540801525116,0.47732613721740075,3.3636698722839355,0.05354391410946846,0.6471685767173767,0.8702741265296936,0.7423200449216268
3,3.59745717048645,0.2613636255264282,0.4793916642665863,0.5699751377105713,0.5207737262944122,3.3075664043426514,0.1232665628194809,0.6484570503234863,0.835871696472168,0.73033267854355
4,3.1803171634674072,0.30845531821250916,0.536689817905426,0.5901013016700745,0.5621296700641003,2.6360068321228027,0.5246533155441284,0.737034022808075,0.6518545150756836,0.6918322708082537
5,2.7824082374572754,0.3702811896800995,0.6016594171524048,0.6185800433158875,0.6100024140847182,2.3272809982299805,0.5142527222633362,0.7177324295043945,0.6556172966957092,0.6852701627348666
6,2.431051015853882,0.43046995997428894,0.662708580493927,0.6546117067337036,0.6586352600052788,2.3341915607452393,0.694915235042572,0.7908530235290527,0.5515140891075134,0.649846946909875
7,2.0824410915374756,0.48093220591545105,0.718100905418396,0.688110888004303,0.7027861009491804,3.3355376720428467,0.08936826139688492,0.5158063173294067,0.9238487482070923,0.6620016585771551
8,1.7850650548934937,0.5395801067352295,0.7648299336433411,0.7252088189125061,0.7444926004709785,1.2703934907913208,0.6251925826072693,0.8055188059806824,0.7636623978614807,0.7840323620899036
9,1.5170480012893677,0.5973613262176514,0.7993718385696411,0.7576417326927185,0.7779475735059164,1.3354722261428833,0.4803543984889984,0.7314056158065796,0.8475183844566345,0.7851925815144559
10,1.2821813821792603,0.6386748552322388,0.8251826763153076,0.7826550602912903,0.8033564365094964,2.647183656692505,0.5620185136795044,0.6642757058143616,0.7633040547370911,0.7103551811572079
11,1.1076672077178955,0.6647727489471436,0.839227557182312,0.8012706637382507,0.8198099982011058,1.2711039781570435,0.7276579141616821,0.791591465473175,0.7860598564147949,0.7888159633960065
12,0.9674859642982483,0.6882703900337219,0.8553330302238464,0.8158876895904541,0.8351448514081121,1.161149024963379,0.7191833853721619,0.7599999904632568,0.8374843001365662,0.7968629974795298
13,0.8521793484687805,0.7116718292236328,0.8609402179718018,0.8331704139709473,0.8468277151288718,2.392777681350708,0.39060091972351074,0.5939797759056091,0.9263572692871094,0.7238361848243209
