epoch,loss,accuracy,precision,recall,f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.8000863790512085,0.19453004002571106,0.381002813577652,0.5114625692367554,0.43669744882280176,0.5905433893203735,0.021956857293844223,0.4872210919857025,0.21519440412521362,0.29853342686091044
2,0.7082822918891907,0.2017526924610138,0.40582752227783203,0.5241247415542603,0.4574519650137211,0.5056388974189758,0.08474576473236084,0.5797373652458191,0.27683210372924805,0.3747271418008551
3,0.6434516906738281,0.22669491171836853,0.4434179365634918,0.5394970774650574,0.4867616781864352,0.4814777076244354,0.276579350233078,0.6547832489013672,0.4574449062347412,0.5386075878669168
4,0.5885446667671204,0.2576078474521637,0.4901847243309021,0.56357741355896,0.5243252327469667,0.4246028661727905,0.29429891705513,0.6910509467124939,0.5077943205833435,0.5854162426913984
5,0.5361292958259583,0.2925654947757721,0.5402308106422424,0.5801936984062195,0.5594995637603559,0.42716529965400696,0.3867488503456116,0.6889135241508484,0.5567102432250977,0.6157962390184948
